receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
37,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.478248-04:00,1787007389,478233357,1787007389478233357,156.96069,,,,680,679,1,0,0,680,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
38,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.637432-04:00,1787007389,637414639,1787007389637414639,159.181282,,,,681,680,1,0,0,681,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
39,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.800315-04:00,1787007389,800281450,1787007389800281450,162.866811,,,,682,681,1,0,0,682,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
40,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.960391-04:00,1787007389,960323672,1787007389960323672,160.042222,,,,683,682,1,0,0,683,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
41,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.053016-04:00,1787007390,53002945,1787007390053002945,92.679273,,,,684,683,1,0,0,684,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
42,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.212326-04:00,1787007390,212296924,1787007390212296924,159.293979,,,,685,684,1,0,0,685,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
43,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.373193-04:00,1787007390,373163274,1787007390373163274,160.86635,,,,686,685,1,0,0,686,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
44,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.535062-04:00,1787007390,535030180,1787007390535030180,161.866906,,,,687,686,1,0,0,687,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
45,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.693522-04:00,1787007390,693506082,1787007390693506082,158.475902,,,,688,687,1,0,0,688,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
46,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:30.856546-04:00,1787007390,856521738,1787007390856521738,163.015656,,,,689,688,1,0,0,689,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
47,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.014300-04:00,1787007391,14294153,1787007391014294153,157.772415,,,,690,689,1,0,0,690,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
48,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.237042-04:00,1787007391,237022778,1787007391237022778,222.728625,,,,691,690,1,0,0,691,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
49,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.398329-04:00,1787007391,398310695,1787007391398310695,161.287917,,,,692,691,1,0,0,692,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
50,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.555161-04:00,1787007391,555144593,1787007391555144593,156.833898,,,,693,692,1,0,0,693,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
51,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.714627-04:00,1787007391,714606584,1787007391714606584,159.461991,,,,694,693,1,0,0,694,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
52,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:31.889547-04:00,1787007391,889539694,1787007391889539694,174.93311,,,,695,694,1,0,0,695,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
53,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:32.044973-04:00,1787007392,44961066,1787007392044961066,155.421372,,,,696,695,1,0,0,696,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
54,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:32.209717-04:00,1787007392,209705935,1787007392209705935,164.744869,,,,697,696,1,0,0,697,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
