time_s,dt_ms,instant_freq_hz,in_motion_window,A1_position_deg,A2_position_deg,A3_position_deg,A4_position_deg,A5_position_deg,A6_position_deg,A1_position_rad,A2_position_rad,A3_position_rad,A4_position_rad,A5_position_rad,A6_position_rad,A1_position_filtered_rad,A2_position_filtered_rad,A3_position_filtered_rad,A4_position_filtered_rad,A5_position_filtered_rad,A6_position_filtered_rad,A1_velocity_rad_s,A2_velocity_rad_s,A3_velocity_rad_s,A4_velocity_rad_s,A5_velocity_rad_s,A6_velocity_rad_s,A1_acceleration_rad_s2,A2_acceleration_rad_s2,A3_acceleration_rad_s2,A4_acceleration_rad_s2,A5_acceleration_rad_s2,A6_acceleration_rad_s2,A1_jerk_rad_s3,A2_jerk_rad_s3,A3_jerk_rad_s3,A4_jerk_rad_s3,A5_jerk_rad_s3,A6_jerk_rad_s3,A1_delta_q_rad,A2_delta_q_rad,A3_delta_q_rad,A4_delta_q_rad,A5_delta_q_rad,A6_delta_q_rad,X_mm,Y_mm,Z_mm,A_deg,B_deg,C_deg
2.243378432,181.72185600000023,5.502915400555884,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,1.0842021724855044e-19,0.0,-3.3881317890172014e-21,0.0,-2.6530109035144313e-15,1.49171809320565e-15,-1.5199276861477533e-19,-1.6479547843035026e-19,5.003115278602895e-21,0.0,2.174693856103626e-15,-3.7995708883803914e-15,-6.992276390935806e-19,-1.4858632876389895e-18,3.190093545174412e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.352775168,109.39673599999989,9.14104055170349,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,-1.0842021724855044e-19,0.0,1.6940658945086007e-21,0.0,-3.216168364423024e-15,2.4424515177937957e-15,-2.6361334517614195e-19,-3.430268243947051e-19,1.2408356127900493e-20,0.0,8.202502280620865e-15,-1.1497562241212214e-14,-8.492179366896957e-20,-1.0476381768711334e-18,8.627835956416878e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.467899392,115.12422400000011,8.68626919040079,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,0.0,0.0,-1.6940658945086007e-21,0.0,-1.9276191242696352e-15,1.7029015157890296e-16,-2.5719669854680786e-19,-3.786818808726874e-19,1.1457483996484113e-20,0.0,1.4966597892843377e-14,-1.2967870470418392e-14,9.029064879311711e-19,7.633251708229378e-19,-3.2115673432454647e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.577663232,109.76383999999983,9.110468438421993,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.3322676295501878e-15,1.3322676295501878e-15,-1.0842021724855044e-19,-1.0842021724855044e-19,3.3881317890172014e-21,0.0,1.567093361402557e-16,-2.338895259350295e-15,-7.021595162182574e-20,-2.4468510420126183e-19,3.2112022402799584e-21,0.0,1.4903613166338104e-14,-8.037940481660951e-15,1.2011554521395652e-18,1.5782974911492504e-18,-4.511007242961719e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.7578432,180.17996800000003,5.550006535687696,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,0.0,-5.421010862427522e-20,-2.168404344971009e-19,3.3881317890172014e-21,0.0,2.8862060245563844e-15,-2.0912598344431668e-15,1.557017531221564e-19,1.9096513826766005e-19,-5.194431087384162e-21,0.0,1.3863416905911093e-15,1.0078051589189332e-14,6.991480274171212e-19,1.40222707970865e-18,-1.88658796569181e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.868680704,110.83750400000002,9.022216884277723,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,0.0,0.0,-1.6940658945086007e-21,0.0,3.1082816602859623e-15,-7.366253529701408e-16,2.684002329767924e-19,3.0897170638655304e-19,-7.115184897887555e-21,0.0,-5.178576058105736e-15,1.527609151435398e-14,2.7867415849048944e-20,7.160801178567268e-19,6.668030169687136e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
2.97453184,105.85113600000007,9.447229739697828,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.525245046519639e-16,2.6306396562704054e-15,1.6938691968782651e-19,2.614234110328816e-19,-1.5529306430050522e-21,0.0,-7.06163019060733e-15,8.188621985879394e-15,-6.535515361581778e-19,-5.010499194534635e-19,2.2390183359678967e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.087738624,113.20678399999994,8.83339288217922,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,4.440892098500626e-16,0.0,2.710505431213761e-20,0.0,-8.470329472543003e-22,0.0,-1.7607916914162274e-15,3.6639627511826445e-15,-8.503344470656154e-20,9.554043654027211e-20,5.79327126739401e-21,0.0,-4.401425169331334e-15,5.780332238182791e-18,-7.22475299538191e-19,-8.87395550714573e-19,1.6867864970435466e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.26752512,179.78649600000017,5.562153010646578,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,-1.0842021724855044e-19,3.3881317890172014e-21,0.0,1.6576596502367293e-15,-7.473511770249811e-16,-6.271488635741465e-21,-2.901518724234187e-20,-3.566973398498221e-23,0.0,6.2072278893968686e-15,-1.0482150671612603e-14,-1.1115743397327374e-19,-8.138391161792131e-19,-5.44882601267388e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.377460992,109.93587199999988,9.096212017129414,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-8.881784197001252e-16,8.881784197001252e-16,-5.421010862427522e-20,0.0,1.6940658945086007e-21,0.0,1.2199573904513727e-15,-4.357131546871535e-16,-3.1465542530197706e-20,-2.1272648991520146e-20,-8.4491410729979435e-22,0.0,3.0746557281000606e-15,-8.93101395290607e-15,1.4286730484304608e-19,-7.531309136438064e-19,-6.243653357457034e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.491712,114.2510080000001,8.752658007183614,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.2797217410061705e-15,-7.987167939064986e-16,-1.4653819011317914e-20,-1.1565618346262611e-19,1.1871458266272525e-22,0.0,-7.291894548849217e-15,-1.3327785822343856e-15,-1.5695435984980984e-20,2.5180083283074875e-20,1.1626712737282026e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.603044864,111.33286399999997,8.982073792694313,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,4.440892098500626e-16,0.0,2.710505431213761e-20,-5.421010862427522e-20,0.0,0.0,1.0616290508081241e-15,-1.2631449175494945e-15,3.573158344778145e-20,-1.7285861613791313e-19,-1.0207483584337527e-22,0.0,-3.90486330503672e-15,-3.501307458075169e-15,-6.596351124490046e-20,7.470596667368878e-19,-9.524480157140254e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.780012288,176.96742399999988,5.6507575089074065,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,-5.421010862427522e-20,-1.0842021724855044e-19,3.3881317890172014e-21,0.0,-2.5311068222132684e-15,-4.228511667360122e-16,-8.365172354145533e-20,-1.8506671897595906e-20,1.8965793187579177e-21,0.0,1.1719102550483173e-14,-1.3366895416746101e-14,3.4760740146726626e-19,1.2533740503414362e-18,-4.814947173310029e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
3.89335936,113.34707199999983,8.822459922034877,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,0.0,-1.0842021724855044e-19,1.6940658945086007e-21,0.0,2.5657569654463023e-15,-4.60719693929749e-15,1.4508770321668595e-20,3.988880414463891e-19,-1.1084029073238884e-20,0.0,1.3539391716298223e-14,-8.690418698041991e-15,4.275670167965886e-19,1.058215016703992e-18,-4.085108829614303e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.004068864,110.7095039999999,9.032648181677347,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-8.881784197001252e-16,0.0,-5.421010862427522e-20,0.0,0.0,0.0,6.948552623495313e-15,-6.8583202221617894e-15,1.6821460826055326e-19,4.317601861108473e-19,-2.0346458101957082e-20,0.0,9.272162858167036e-15,3.149061328457065e-15,3.958387712208225e-19,-8.269921178430765e-20,4.1335506360892004e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.115599872,111.53100800000004,8.966116400561893,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,1.3322676295501878e-15,-1.3322676295501878e-15,2.710505431213761e-20,5.421010862427522e-20,-2.541098841762901e-21,0.0,4.140164995972341e-15,-3.5820457615161345e-15,1.5165037982377525e-19,1.4947527207090431e-19,-1.2395975861181168e-20,0.0,1.2936951514950734e-16,1.0279469279048933e-14,2.0544919722701814e-19,-9.549650284664437e-19,3.757142989876081e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.2953344,179.734528,5.5637612379074985,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,5.421010862427522e-20,1.0842021724855044e-19,-6.776263578034403e-21,0.0,1.7803915357380837e-15,6.236525090052741e-16,8.688379964683717e-20,4.974938485715297e-20,3.606202765702707e-21,0.0,-1.1283388798869893e-14,1.4066587375503259e-14,-1.2907422217069855e-19,-5.645284811418224e-19,5.492984556008351e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.40779008,112.45568000000006,8.892392096157344,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,0.0,-1.0842021724855044e-19,0.0,0.0,1.3063752966352438e-15,3.7166136557170876e-16,8.068510404121039e-20,-9.345273433599628e-20,7.93352058526497e-21,0.0,-7.508748171879246e-15,6.1732329564626165e-15,-1.2826261218870454e-19,-8.302248235970741e-20,3.1418349199715505e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.5189312,111.14112000000009,8.997569936311594,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,8.881784197001252e-16,-8.881784197001252e-16,5.421010862427522e-20,1.0842021724855044e-19,-1.6940658945086007e-21,0.0,4.523428070450241e-16,4.523428070450245e-16,8.553480128492535e-20,-1.597875854819901e-20,6.302740777570212e-21,0.0,-7.092086290232585e-15,1.752478800643129e-16,-1.8178037123064283e-19,-3.055131840019892e-19,-5.5962824872196625e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.633028864,114.09766399999998,8.764421329432302,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,1.7763568394002505e-15,-8.881784197001252e-16,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,1.6956868732546085e-15,-1.5423204546238586e-16,1.1572623830145042e-19,1.925641584971144e-19,7.249694723915681e-22,0.0,-1.2050995467384011e-14,6.510172519118524e-15,-3.6487676492481034e-19,-6.289304032591721e-19,-8.856925168356881e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
4.811407872,178.37900800000028,5.606040818435308,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,1.0842021724855044e-19,0.0,-3.3881317890172014e-21,0.0,-2.173885668627433e-15,9.91958277650328e-16,-4.383151382648949e-20,-2.5180755331706684e-19,3.5774633258150015e-21,0.0,-1.6457875923922832e-14,1.4907118617734026e-14,-1.0160056269624592e-18,-9.5388090334874e-19,1.718953402958435e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
